Date,CustomerId,ItemId,Quantity,UnitPrice,Discount,Subtotal,ItemName
2025-04-21,681ef40f11f6648efb65ba89,ITEM025,8,25.52,0.1,183.74,Correction Fluid
2025-04-21,681ef40f11f6648efb65ba89,ITEM025,8,25.52,0.1,183.74,Correction Fluid
2025-04-02,CUST0007,ITEM005,5,12.02,0.15,51.08,Sharpener
2025-03-13,CUST0140,ITEM021,6,32.53,0.12,171.76,Clipboard
2025-04-11,CUST0098,ITEM023,8,18.15,0.07,135.04,Sketch Pad
2025-05-06,CUST0076,ITEM015,6,13.18,0.17,65.64,Folder
2025-04-24,CUST0112,ITEM025,7,25.52,0.05,169.71,Correction Fluid
2025-03-30,CUST0150,ITEM025,7,25.52,0.02,175.07,Correction Fluid
2025-05-11,CUST0102,ITEM013,11,42.46,0.09,425.02,Tape
2025-03-07,CUST0021,ITEM016,5,13.25,0.12,58.3,Calculator
2025-03-24,CUST0022,ITEM007,7,7.61,0.09,48.48,Highlighter
2025-05-01,CUST0096,ITEM019,6,24.44,0.15,124.64,Sticky Notes
2025-05-12,CUST0116,ITEM011,8,5.93,0.07,44.12,Glue Stick
2025-03-30,CUST0110,ITEM008,7,43.98,0.07,286.31,Ruler
2025-03-19,CUST0089,ITEM009,2,32.05,0.09,58.33,Compass
2025-05-01,CUST0006,ITEM023,5,18.15,0.02,88.94,Sketch Pad
2025-04-19,CUST0138,ITEM006,4,12.02,0.11,42.79,Marker
2025-03-23,CUST0049,ITEM009,10,32.05,0.08,294.86,Compass
2025-05-14,CUST0051,ITEM005,3,12.02,0.02,35.34,Sharpener
2025-04-14,CUST0027,ITEM021,3,32.53,0.18,80.02,Clipboard
2025-03-13,CUST0073,ITEM029,8,31.66,0.15,215.29,Bulletin Board
2025-03-11,CUST0122,ITEM006,6,12.02,0.13,62.74,Marker
2025-03-29,CUST0080,ITEM028,7,28.14,0.09,179.25,Label Maker
2025-03-09,CUST0059,ITEM008,3,43.98,0.07,122.7,Ruler
2025-04-27,CUST0035,ITEM022,4,11.28,0.13,39.25,Graph Paper
2025-05-13,CUST0074,ITEM024,8,21.49,0.06,161.6,Index Cards
2025-04-25,CUST0114,ITEM004,4,31.94,0.02,125.2,Eraser
2025-04-28,CUST0087,ITEM017,5,18.69,0.03,90.65,Stapler
2025-05-12,CUST0052,ITEM003,6,37.94,0.14,195.77,Pen
2025-04-17,CUST0059,ITEM010,4,36.86,0.09,134.17,Protractor
2025-04-25,CUST0049,ITEM001,3,21.85,0.01,64.89,Notebook
2025-04-05,CUST0107,ITEM019,7,24.44,0.01,169.37,Sticky Notes
2025-05-06,CUST0067,ITEM029,6,31.66,0.06,178.56,Bulletin Board
2025-05-09,CUST0097,ITEM012,4,48.65,0.15,165.41,Scissors
2025-03-03,CUST0097,ITEM001,4,21.85,0.15,74.29,Notebook
2025-04-18,CUST0130,ITEM002,2,47.78,0.1,86.0,Pencil
2025-05-15,CUST0117,ITEM008,3,43.98,0.19,106.87,Ruler
2025-03-13,CUST0004,ITEM011,6,5.93,0.14,30.6,Glue Stick
2025-04-08,CUST0022,ITEM019,7,24.44,0.15,145.42,Sticky Notes
2025-04-27,CUST0080,ITEM018,1,28.61,0.09,26.04,Paper Clips
2025-04-30,CUST0146,ITEM009,4,32.05,0.18,105.12,Compass
2025-03-20,CUST0108,ITEM028,5,28.14,0.05,133.66,Label Maker
2025-03-07,CUST0059,ITEM020,3,18.11,0.07,50.53,Whiteboard Marker
2025-03-25,CUST0039,ITEM016,5,13.25,0.0,66.25,Calculator
2025-04-15,CUST0119,ITEM025,5,25.52,0.15,108.46,Correction Fluid
2025-05-13,CUST0134,ITEM010,2,36.86,0.1,66.35,Protractor
2025-04-29,CUST0117,ITEM024,2,21.49,0.11,38.25,Index Cards
2025-04-05,CUST0043,ITEM006,5,12.02,0.18,49.28,Marker
2025-04-06,CUST0039,ITEM026,4,40.33,0.08,148.41,Desk Organizer
2025-03-27,CUST0131,ITEM006,7,12.02,0.07,78.25,Marker
2025-04-01,CUST0141,ITEM005,13,12.02,0.09,142.2,Sharpener
2025-03-17,CUST0050,ITEM014,5,14.56,0.17,60.42,Binder
2025-03-23,CUST0024,ITEM013,4,42.46,0.12,149.46,Tape
2025-03-27,CUST0116,ITEM018,7,28.61,0.12,176.24,Paper Clips
2025-04-10,CUST0077,ITEM016,7,13.25,0.04,89.04,Calculator
2025-05-02,CUST0137,ITEM022,3,11.28,0.06,31.81,Graph Paper
2025-04-20,CUST0078,ITEM027,4,13.99,0.07,52.04,File Tray
2025-04-16,CUST0073,ITEM002,4,47.78,0.02,187.3,Pencil
2025-05-14,CUST0005,ITEM028,4,28.14,0.17,93.42,Label Maker
2025-04-09,CUST0138,ITEM013,2,42.46,0.17,70.48,Tape
2025-05-16,CUST0015,ITEM018,10,28.61,0.01,283.24,Paper Clips
2025-04-05,CUST0109,ITEM020,3,18.11,0.02,53.24,Whiteboard Marker
2025-04-19,CUST0141,ITEM019,2,24.44,0.07,45.46,Sticky Notes
2025-05-06,CUST0110,ITEM005,6,12.02,0.15,61.3,Sharpener
2025-03-05,CUST0040,ITEM005,6,12.02,0.01,71.4,Sharpener
2025-04-23,CUST0087,ITEM025,4,25.52,0.17,84.73,Correction Fluid
2025-04-28,CUST0067,ITEM012,6,48.65,0.07,271.47,Scissors
